snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_1_S76,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_26,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,MD_6_A10,MD_6_A11,MD_6_A12,MD_6_A8,MD_6_A9,MD_6_B10,MD_6_B11,MD_6_B12,MD_6_B8,MD_6_B9,MD_6_C10,MD_6_C11,MD_6_C12,MD_6_C8,MD_6_C9,MD_6_D10,MD_6_D11,MD_6_D12,MD_6_D8,MD_6_D9,MD_6_E10,MD_6_E11,MD_6_E12,MD_6_E8,MD_6_E9,MD_6_F10,MD_6_F11,MD_6_F12,MD_6_F8,MD_6_F9,MD_6_G10,MD_6_G11,MD_6_G8,MD_6_G9,MD_6_H10,MD_6_H11,MD_6_H7,MD_6_H8,MD_6_H9,MD_7_A1,MD_7_A2,MD_7_A3,MD_7_B1,MD_7_B2,MD_7_C1,MD_7_C2,MD_7_D1,MD_7_D2,MD_7_E1,MD_7_E2,MD_7_F1,MD_7_F2,MD_7_G1,MD_7_G2,MD_7_H1,MD_7_H2,SG19_084_Sal,SG19_116_05_E_coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_C11,W_1_D11,W_1_E11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2019_17,30394,33258,33082,33087,33731,33394,33267,33060,33249,33570,33816,33195,38347,33077,31711,33473,38209,33308,33246,33228,30301,30392,33071,33283,33312,30292,33305,33423,33258,33393,33187,33287,33203,33258,33303,31720,32836,33076,31735,31667,33302,37846,33264,82,33416,30297,58,69,33310,33325,30292,0,33082,38086,33815,33267,38245,33045,33645,33638,28546,32727,33238,33433,32741,38195,33309,33472,33302,33307,33301,33306,33313,33308,33310,33298,33330,33295,33264,38245,33309,33307,28826,33305,38237,37176,33305,32738,33253,33477,33305,37030,32734,33173,30296,33306,37729,33297,33309,29669,33315,33266,37201,33815,33311,33308,28835,30337,33300,33301,33310,32727,33303,33278,37193,33313,28826,28836,31720,33265,32740,32726,34098,34081,33306,33488,34091,32833,38037,31726,32740,29497,79,30381,34099,33256,29502,33252,30850,31710,33313,33270,33239,33309,33335,37846,33476,33476,56,30766,33386,33359,33314,33322,38018,33318,33233,28062,33842,33394,33248,33525,38299,33250,33398,33396,33509,33414,33240,32730,33087,33252,33251,33551,33548,33549,38157,33843,33857,33553,33551,33545,33556,33548,33554,33545,33556,33547,33541,33548,33445,33446,33044,33039,34330,33644,77,33643,16,33199,30293
ISLHD_2019_18,33379,28523,4,2,29383,28880,28523,6,28508,29243,29457,28453,40080,14,30260,28869,39785,28559,28511,28486,32773,33381,90,28548,28566,32766,28571,28839,28521,28886,28638,29120,28467,28612,28556,30268,28057,30,30207,30216,28557,39874,28619,33070,28943,32773,33068,33077,28560,28574,32763,33082,0,39819,29453,28518,39807,221,29151,29144,24460,30096,28496,28827,30112,39787,28560,29229,28554,28558,28552,28557,28561,28558,28562,28554,28582,28554,28618,39826,28558,28562,32620,28559,39807,35306,28555,30106,28598,29236,28559,35171,30106,28777,32770,28560,39514,28554,28557,32742,28564,28617,35320,29454,28558,28558,32633,33325,28552,28556,28561,30099,28554,28537,35328,28560,32627,32635,30259,28605,30112,30101,29926,29903,28580,28912,29917,28191,39576,30203,30111,33290,33038,33371,29924,28516,33298,28515,26529,30255,28579,28623,28492,28566,28838,39875,28870,28861,33065,33919,28880,28852,28562,28570,39811,28582,28487,32752,29477,28890,28514,29133,40043,28507,28893,28888,28670,28926,28494,30096,7,28509,28508,28817,28813,28814,39888,30908,30912,28819,28818,28814,28818,28814,28814,28814,28818,28811,28808,28816,28723,28724,29640,29637,30611,28378,33086,28373,33081,28790,32766
ISLHD_2019_19,36845,39989,39818,39821,39796,39691,39999,39816,39999,39334,39870,39961,23486,39820,38961,40137,14608,40019,39983,39962,37699,36848,39827,40014,40040,37696,40033,40070,39989,39674,39848,40087,39921,39682,40038,38963,39430,39811,38981,38931,40026,24345,39694,38081,39740,37704,38089,38108,40026,40041,37698,38086,39819,0,39877,39999,14643,39782,39976,39972,34073,39116,39976,40091,39114,24087,40016,40370,40008,40020,40027,40016,40031,40031,40023,40029,40047,40028,39684,14629,40036,40011,37556,40033,14627,41907,40038,39114,39688,40373,40024,41813,39108,39923,37693,40013,23717,40014,40013,37670,40020,39692,41917,39870,40012,40017,37558,36782,40030,40035,40016,39108,40031,39982,41923,40025,37557,37567,38958,39696,39116,39118,40332,40329,40033,39915,40332,39434,23721,38976,39120,37426,38058,36834,40331,39982,37429,39988,36483,38952,40026,39701,39943,40038,39598,24352,40140,40132,38083,36848,39657,39642,40018,40042,22095,40032,39960,37810,39906,39681,39984,39674,25004,39988,39691,39674,40157,39686,39972,39112,39812,39987,39978,40262,40259,40260,13974,39949,39971,40262,40260,40263,40265,40262,40264,40258,40265,40261,40256,40262,40168,40169,39436,39436,40186,39993,38094,39988,38110,39953,37692
ISLHD_2019_20,34356,27905,29461,29458,87,29022,27908,29448,27901,28133,36,27836,40047,29457,30118,26724,39822,27950,27899,27877,33872,34360,29440,27935,27964,33864,27947,26681,27904,29015,28170,28937,27868,27860,27950,30127,27367,29449,30046,30075,27952,39650,27867,33812,27990,33871,33806,33824,27950,27967,33863,33815,29453,39877,0,27908,39814,29403,28581,28579,23212,30217,27882,26675,30230,39881,27946,28536,27946,27948,27949,27947,27951,27955,27956,27950,27965,27949,27863,39863,27953,27952,33527,27955,39820,36071,27949,30221,27858,28539,27951,35916,30220,28245,33864,27949,39520,27946,27946,33687,27953,27862,36077,27,27943,27947,33540,34277,27949,27956,27945,30224,27952,27936,36082,27951,33531,33544,30107,27865,30227,30219,28992,28967,27964,28778,28991,27523,39671,30041,30232,33926,33754,34345,28989,27895,33935,27902,26738,30105,27955,27874,27880,27962,28962,39654,26721,26716,33803,34596,29009,28983,27950,27963,39799,27958,27874,33624,232,29017,27901,28280,40041,27893,29020,29027,27631,29063,27882,30220,29462,27896,27896,28196,28193,28193,39918,31064,31068,28197,28195,28199,28197,28198,28200,28194,28198,28185,28188,28194,28108,28109,29253,29255,30609,28162,33831,28160,33832,28265,33863
ISLHD_2019_21,33359,58,28519,28520,27834,28115,56,28505,258,27035,27906,348,40068,28514,29956,27514,39992,384,47,236,33164,33357,28513,372,380,33158,392,27484,59,28114,26477,27831,236,14998,385,29959,389,28519,29902,29941,374,39935,15008,33269,26767,33166,33257,33270,374,387,33157,33267,28518,39999,27908,0,40010,28486,27903,27899,23345,28362,349,27468,28365,40019,382,27690,380,379,385,379,383,386,381,386,395,383,15007,40044,387,380,33237,385,40034,35304,385,28359,14983,27697,384,35175,28358,26836,33150,379,39713,380,380,32928,383,15003,35320,27906,381,381,33249,33302,384,387,381,28360,384,379,35317,385,33239,33252,29954,14991,28362,28355,28925,28907,396,27613,28923,402,39829,29897,28367,33253,33214,33347,28926,49,33258,50,25740,29946,395,15010,356,382,28071,39934,27514,27511,33254,33922,28104,28078,385,385,39751,397,235,32783,27947,28114,48,26632,40301,363,28118,28119,8697,28148,349,28362,28519,362,362,641,640,641,40040,30429,30423,643,642,642,643,640,642,641,643,643,643,642,557,558,28336,28336,30342,26900,33284,26896,33276,26847,33157
ISLHD_2019_22,36677,40001,39806,39810,39744,39884,40011,39797,40008,39381,39807,39968,22972,39809,38904,40024,177,40028,39993,39978,37757,36677,39821,40024,40048,37745,40039,39968,40001,39874,39778,40152,39942,39713,40050,38912,39418,39803,38925,38887,40037,24283,39714,38235,39826,37758,38245,38251,40040,40055,37750,38245,39807,14643,39814,40010,0,39771,39823,39820,33943,38897,39984,39985,38901,24150,40029,40404,40019,40030,40033,40028,40038,40047,40037,40033,40057,40031,39716,174,40049,40025,37620,40046,174,41939,40047,38900,39711,40408,40040,41805,38895,39949,37749,40029,23852,40016,40026,37621,40036,39719,41953,39812,40028,40028,37621,36611,40039,40042,40030,38894,40041,39985,41956,40037,37620,37627,38902,39733,38905,38902,40525,40506,40041,40016,40520,39419,23792,38914,38904,37356,38207,36667,40522,39996,37359,39997,36695,38895,40036,39731,39947,40047,39790,24287,40027,40021,38240,36653,39858,39842,40032,40054,22530,40042,39979,37970,39847,39884,39994,39752,24752,39996,39882,39873,40151,39898,39981,38895,39796,39993,39985,40267,40259,40260,6289,39960,39990,40267,40266,40264,40269,40262,40266,40260,40269,40264,40256,40264,40169,40170,39511,39508,40345,39925,38248,39921,38257,39976,37744
ISLHD_2019_23,33363,28490,225,221,29344,28854,28491,220,28477,29243,29412,28422,40057,227,30252,28846,39747,28542,28473,28453,32753,33363,208,28517,28549,32748,28542,28810,28489,28857,28633,29096,28431,28589,28539,30256,28029,225,30196,30204,28539,39847,28590,33033,28937,32750,33030,33039,28539,28554,32743,33045,221,39782,29403,28486,39771,0,29114,29115,24405,30083,28465,28802,30099,39763,28540,29213,28537,28540,28546,28538,28543,28552,28545,28543,28550,28543,28593,39789,28551,28545,32609,28553,39770,35271,28544,30093,28570,29220,28553,35137,30092,28760,32748,28542,39457,28531,28539,32728,28545,28594,35285,29410,28539,28541,32620,33309,28547,28545,28541,30085,28549,28514,35294,28543,32615,32622,30244,28579,30096,30087,29897,29878,28550,28919,29888,28177,39547,30196,30099,33265,33002,33355,29895,28483,33267,28477,26534,30244,28548,28601,28462,28547,28809,39853,28840,28836,33027,33891,28850,28826,28543,28552,39784,28550,28453,32729,29432,28860,28476,29078,39977,28477,28863,28862,28632,28897,28464,30082,220,28479,28478,28784,28782,28783,39851,30870,30876,28786,28785,28783,28785,28783,28784,28782,28785,28779,28778,28784,28687,28688,29621,29614,30583,28349,33048,28343,33045,28775,32748
ISLHD_2019_24,33816,27900,29157,29155,28523,28432,27904,29135,27889,28612,28578,27860,40161,29147,30035,28122,39810,27934,27890,27865,33322,33816,29150,27905,27945,33315,27951,28073,27898,28438,27979,29098,27845,27919,27950,30046,27436,29144,30001,30021,27933,40023,27923,33623,28039,33323,33643,33627,27946,27961,33318,33645,29151,39976,28581,27903,39823,29114,0,1,24159,28777,27880,28080,28790,40186,27943,28295,27929,27934,27920,27933,27942,27926,27941,27921,27960,27920,27925,39847,27933,27940,33209,27925,39835,34986,27923,28782,27909,28301,27929,34864,28782,27968,33319,27940,39884,27929,27938,33197,27945,27917,35007,28576,27945,27932,33217,33732,27920,27924,27946,28779,27923,27907,35001,27940,33212,33218,30038,27919,28787,28776,28518,28493,27945,28128,28505,27532,39843,29996,28794,33441,33576,33800,28512,27896,33448,27892,26042,30032,27957,27925,27877,27949,28384,40026,28126,28120,33641,34167,28429,28401,27946,27947,40114,27961,27875,33242,28616,28434,27892,27896,40501,27889,28444,28443,28067,28476,27879,28782,29151,27892,27891,28197,28181,28182,39947,30380,30391,28197,28196,28182,28195,28183,28186,28185,28195,28191,28182,28189,28092,28093,28567,28570,29848,27984,33644,27981,33647,27992,33317
ISLHD_2019_25,33806,27896,29150,29148,28520,28433,27900,29137,27885,28612,28575,27856,40157,29148,30035,28121,39807,27931,27887,27861,33314,33807,29151,27902,27941,33307,27947,28070,27894,28438,27979,29094,27841,27915,27946,30040,27433,29137,29995,30015,27929,40014,27920,33615,28028,33316,33636,33619,27942,27957,33310,33638,29144,39972,28579,27899,39820,29115,1,0,24139,28764,27876,28079,28777,40172,27939,28286,27925,27930,27916,27929,27938,27922,27938,27918,27956,27917,27921,39844,27929,27936,33197,27921,39832,34970,27919,28769,27906,28292,27925,34847,28769,27967,33312,27936,39879,27925,27934,33196,27941,27913,34989,28573,27941,27928,33203,33722,27916,27921,27942,28767,27919,27903,34984,27936,33200,33204,30031,27915,28774,28763,28510,28485,27941,28128,28498,27528,39830,29997,28782,33436,33568,33790,28504,27892,33443,27889,26043,30031,27953,27921,27873,27945,28384,40022,28123,28119,33634,34161,28429,28401,27942,27943,40109,27957,27871,33232,28613,28434,27889,27893,40489,27886,28444,28444,28063,28476,27875,28770,29144,27888,27888,28193,28177,28178,39944,30374,30385,28193,28192,28178,28191,28179,28182,28181,28191,28187,28178,28185,28089,28090,28565,28568,29848,27974,33636,27971,33639,27990,33310
ISLHD_2019_26,28738,23342,24464,24462,23184,20109,23345,24437,23336,23436,23219,23280,34017,24448,25105,23858,33945,23375,23328,23313,28543,28739,24441,23370,23387,28537,23389,23833,23339,20113,22987,24140,23320,23228,23372,25122,23040,24453,25040,25065,23372,34037,23232,28547,23838,28543,28547,28553,23376,23392,28539,28546,24460,34073,23212,23345,33943,24405,24159,24139,0,25001,23324,23817,25019,34030,23378,24087,23369,23374,23364,23371,23376,23368,23376,23361,23397,23360,23237,33971,23368,23375,28405,23370,33958,30169,23361,25004,23220,24094,23369,30041,25007,23236,28541,23377,34047,23366,23374,28109,23380,23233,30189,23217,23374,23376,28412,28695,23365,23361,23377,25002,23368,23351,30184,23375,28405,28413,25114,23233,25012,25001,24457,24437,23374,23605,24450,23119,33699,25028,25014,28333,28529,28727,24457,23336,28334,23332,18772,25104,23390,23239,23323,23387,20083,34039,23879,23857,28544,29050,20111,20094,23377,23387,33948,23393,23314,28017,23247,20115,23331,23674,34191,23333,20119,20122,23412,20169,23324,25003,24466,23336,23336,23613,23606,23607,33994,25828,25833,23611,23610,23607,23609,23606,23610,23606,23610,23608,23609,23608,23508,23509,23829,23827,25926,23418,28565,23415,28546,23246,28536
ISLHD_2019_27,33286,28356,30100,30096,30158,29618,28359,30085,28347,29259,30215,28313,39325,30102,28788,29696,38915,28403,28339,28322,32235,33283,30099,28377,28411,32232,28410,29663,28350,29614,28569,29960,28299,28741,28410,28795,27973,30088,28839,28779,28404,39297,28743,32734,28620,32233,32726,32734,28402,28415,32233,32727,30096,39116,30217,28362,38897,30083,28777,28764,25001,0,28333,29649,30,39202,28400,29484,28401,28406,28395,28401,28409,28399,28408,28391,28425,28388,28745,38959,28397,28404,32305,28400,38911,35802,28392,5,28731,29487,28394,35685,5,29383,32230,28402,39049,28397,28398,31957,28410,28744,35821,30210,28398,28404,32314,33203,28394,28391,28401,5,28396,28373,35821,28408,32305,32313,28783,28747,28,19,30138,30121,28410,29148,30136,27994,38906,28837,37,32765,32657,33274,30137,28342,32765,28344,27185,28781,28410,28748,28327,28410,29570,39304,29701,29696,32718,33139,29606,29572,28406,28413,39193,28416,28317,32385,30267,29613,28339,29035,39672,28344,29615,29621,28362,29651,28330,0,30100,28345,28346,28636,28632,28632,39048,31555,31556,28635,28634,28640,28637,28637,28643,28631,28638,28628,28638,28632,28540,28541,29089,29087,31152,28827,32745,28824,32738,29392,32225
ISLHD_2019_28,33328,353,28495,28497,27811,28090,351,28480,344,27006,27879,37,40049,28491,29921,27489,39966,405,342,323,33137,33329,28494,393,401,33129,415,27458,354,28092,26447,27799,323,14975,406,29926,409,28496,29867,29908,395,39896,14984,33247,26744,33140,33230,33247,395,408,33130,33238,28496,39976,27882,349,39984,28465,27880,27876,23324,28333,0,27441,28337,39993,403,27663,402,401,407,401,403,406,401,408,417,405,14983,40009,408,402,33220,406,39998,35287,407,28332,14960,27670,406,35156,28330,26817,33125,401,39686,401,402,32901,403,14979,35300,27879,402,403,33228,33274,406,407,402,28332,406,401,35298,405,33219,33230,29920,14968,28337,28331,28893,28874,417,27580,28890,426,39801,29862,28341,33225,33192,33317,28895,344,33230,344,25714,29912,417,14987,17,402,28049,39895,27488,27488,33226,33898,28082,28054,405,407,39729,419,322,32756,27922,28094,343,26602,40270,34,28096,28096,8671,28124,0,28335,28497,23,23,661,661,662,40012,30409,30404,663,662,662,662,661,661,661,662,662,663,662,576,577,28302,28302,30296,26883,33259,26881,33253,26827,33128
ISLHD_2019_29,33964,27463,28823,28825,26627,28416,27469,28808,27455,28970,26669,27426,40294,28828,29778,299,39989,27508,27452,27435,33293,33965,28837,27489,27517,33288,27524,264,27460,28416,27836,28346,27419,27707,27509,29781,27067,28810,29762,29763,27507,39953,27716,33438,28285,33295,33425,33445,27510,27523,33291,33433,28827,40091,26675,27468,39985,28802,28080,28079,23817,29649,27441,0,29666,40202,27510,28568,27503,27512,27504,27509,27512,27513,27514,27502,27540,27500,27714,40028,27513,27510,33333,27509,39986,35319,27507,29655,27699,28576,27508,35177,29657,28083,33294,27509,39821,27501,27505,33240,27517,27711,35334,26673,27510,27509,33331,33911,27503,27503,27511,29654,27507,27484,35337,27514,33335,33330,29773,27715,29664,29652,29204,29185,27506,27841,29195,27166,39909,29763,29666,33313,33381,33954,29204,27454,33322,27456,26197,29772,27530,27718,27440,27518,28362,39961,292,292,33421,34111,28405,28380,27512,27522,39928,27533,27435,33124,26704,28413,27454,28058,40147,27448,28414,28419,27804,28457,27437,29653,28827,27453,27453,27752,27743,27744,40113,30758,30757,27752,27750,27746,27752,27747,27751,27746,27752,27745,27744,27749,27651,27652,28821,28818,30382,27887,33441,27885,33440,28117,33285
ISLHD_2019_30,33299,28357,30113,30114,30174,29622,28363,30095,28351,29265,30229,28314,39322,30116,28800,29710,38916,28406,28339,28323,32238,33292,30116,28377,28415,32232,28412,29679,28351,29624,28576,29969,28299,28755,28417,28807,27980,30104,28849,28790,28407,39306,28753,32743,28632,32238,32739,32741,28412,28425,32232,32741,30112,39114,30230,28365,38901,30099,28790,28777,25019,30,28337,29666,0,39203,28410,29492,28401,28409,28395,28404,28416,28400,28411,28392,28432,28389,28762,38960,28401,28410,32314,28402,38921,35813,28395,27,28743,29496,28401,35699,27,29396,32235,28409,39046,28396,28405,31957,28417,28757,35837,30229,28409,28407,32327,33215,28395,28391,28413,27,28398,28374,35834,28411,32318,32326,28802,28761,38,23,30149,30127,28410,29165,30140,27997,38907,28847,47,32768,32664,33286,30147,28350,32773,28344,27193,28798,28418,28762,28331,28414,29582,39307,29715,29712,32733,33144,29620,29586,28416,28416,39186,28426,28328,32391,30280,29623,28340,29042,39670,28343,29628,29629,28367,29667,28332,30,30114,28346,28347,28646,28637,28637,39050,31559,31564,28645,28644,28638,28646,28636,28645,28636,28647,28635,28637,28641,28538,28539,29093,29091,31156,28839,32757,28835,32745,29405,32228
MD_6_A10,37008,40007,39788,39795,39833,39989,40015,39780,40011,39014,39877,39982,24230,39785,38882,40239,24136,40048,40004,39981,37999,37009,39794,40030,40061,37993,40054,40192,40010,39984,39641,40090,39942,39943,40052,38895,39428,39786,38920,38870,40047,18893,39951,38195,39936,38004,38204,38206,40051,40069,37995,38195,39787,24087,39881,40019,24150,39763,40186,40172,34030,39202,39993,40202,39203,0,40046,40283,40032,40044,40037,40043,40051,40052,40053,40039,40073,40039,39948,24144,40058,40043,37522,40052,24126,42155,40056,39203,39947,40284,40048,41995,39197,39896,37990,40042,24103,40032,40042,37839,40047,39955,42159,39879,40042,40043,37531,36962,40045,40055,40045,39200,40048,40016,42160,40053,37527,37539,38890,39951,39206,39212,40547,40524,40057,39966,40536,39459,16919,38906,39218,37590,38188,36996,40537,40006,37588,40012,36885,38875,40053,39961,39947,40062,39905,18898,40255,40242,38205,36561,39963,39948,40048,40069,24131,40055,39982,37913,39912,39993,40007,39910,24355,40008,39990,39980,40114,39995,39991,39205,39787,40002,39993,40285,40282,40283,24100,40168,40185,40285,40283,40281,40284,40282,40282,40280,40284,40283,40272,40280,40190,40191,39808,39812,40401,40065,38206,40064,38213,39909,37990
MD_6_A11,33394,385,28559,28560,27878,28151,384,28542,378,27068,27942,402,40094,28553,29985,27556,40008,6,374,356,33190,33393,28558,426,60,33181,294,27526,386,28154,26518,27867,356,15053,33,29990,287,28559,29930,29971,58,39955,15059,33312,26803,33195,33299,33312,58,67,33182,33309,28560,40016,27946,382,40029,28540,27943,27939,23378,28400,403,27510,28410,40046,0,27732,3,2,55,2,4,54,2,56,296,53,15060,40052,56,3,33281,54,40045,35338,55,28405,15037,27739,54,35208,28403,26884,33176,2,39726,2,3,32959,4,15056,35357,27944,3,4,33292,33339,54,55,3,28399,54,2,35350,6,33283,33296,29989,15043,28412,28398,28972,28949,158,27638,28967,36,39843,29925,28408,33296,33255,33382,28972,376,33299,376,25760,29981,296,15064,410,65,28113,39954,27554,27557,33297,33955,28146,28115,6,31,39771,298,357,32825,27988,28157,375,26677,40313,417,28158,28158,8752,28189,404,28404,28560,416,416,510,510,511,40058,30454,30456,512,511,511,511,510,510,510,511,511,512,511,425,426,28368,28368,30367,26948,33328,26946,33316,26891,33180
MD_6_A12,34272,27687,29225,29228,28495,28540,27689,29215,27675,27963,28540,27651,40419,29231,29790,28618,40381,27727,27671,27650,33608,34269,29241,27707,27736,33601,27740,28585,27683,28552,27739,28762,27636,27710,27739,29796,27218,29226,29741,29771,27725,40114,27716,33456,27946,33606,33459,33460,27735,27748,33603,33472,29229,40370,28536,27690,40404,29213,28295,28286,24087,29484,27663,28568,29492,40283,27732,0,27725,27729,27715,27726,27734,27719,27733,27712,27758,27712,27718,40432,27719,27729,33412,27718,40415,35282,27710,29486,27692,11,27719,35148,29486,27915,33606,27730,39968,27722,27726,33308,27737,27716,35297,28534,27733,27727,33427,34183,27711,27712,27734,29485,27715,27702,35290,27731,33422,33428,29788,27704,29493,29482,25798,25783,27742,28305,25799,27343,39950,29736,29497,33881,33401,34261,25801,27678,33884,27675,26257,29786,27749,27724,27661,27736,28516,40120,28619,28617,33455,34348,28534,28516,27734,27739,40075,27754,27655,33356,28584,28551,27674,27990,40460,27671,28555,28556,27987,28583,27660,29488,29233,27673,27673,27969,27958,27959,40334,30781,30782,27969,27968,27961,27969,27958,27962,27961,27969,27959,27956,27964,27865,27866,28619,28619,30459,27651,33471,27648,33483,27936,33597
MD_6_A8,33395,384,28555,28556,27876,28154,382,28541,377,27064,27945,401,40085,28549,29981,27552,40001,5,373,355,33194,33395,28553,425,59,33186,293,27520,385,28150,26517,27856,355,15051,32,29986,286,28556,29927,29968,57,39939,15060,33313,26801,33193,33291,33313,57,66,33186,33302,28554,40008,27946,380,40019,28537,27929,27925,23369,28401,402,27503,28401,40032,3,27725,0,1,54,1,3,53,1,55,295,52,15057,40045,55,0,33277,53,40035,35336,54,28396,15036,27730,53,35203,28395,26872,33181,1,39727,1,2,32962,3,15055,35348,27942,2,3,33287,33340,53,54,2,28401,53,1,35343,5,33276,33286,29978,15042,28402,28396,28962,28946,157,27635,28962,35,39833,29923,28410,33297,33258,33384,28964,375,33301,375,25758,29970,295,15063,409,64,28108,39937,27551,27551,33287,33955,28140,28111,5,31,39766,297,354,32822,27992,28152,374,26677,40302,416,28154,28156,8749,28182,402,28404,28557,415,415,509,510,511,40046,30451,30447,512,511,511,510,510,510,510,510,510,512,510,425,426,28368,28366,30370,26948,33323,26946,33319,26889,33185
MD_6_A9,33397,383,28557,28559,27879,28155,381,28543,376,27066,27945,400,40097,28553,29985,27560,40012,4,372,354,33194,33397,28556,424,58,33186,292,27529,384,28153,26518,27865,354,15051,31,29990,285,28558,29931,29972,56,39946,15060,33315,26805,33197,33297,33315,56,65,33186,33307,28558,40020,27948,379,40030,28540,27934,27930,23374,28406,401,27512,28409,40044,2,27729,1,0,53,0,2,52,0,54,294,51,15059,40056,54,1,33282,52,40046,35341,53,28405,15036,27735,52,35208,28402,26883,33182,0,39731,0,1,32963,2,15055,35354,27945,1,2,33293,33343,52,53,1,28406,52,0,35352,4,33281,33295,29983,15044,28409,28404,28965,28947,156,27642,28963,34,39844,29926,28415,33299,33260,33386,28967,374,33304,374,25760,29975,294,15063,408,63,28110,39945,27559,27559,33293,33957,28143,28114,4,30,39779,296,353,32825,27992,28155,373,26679,40317,415,28157,28158,8749,28185,401,28409,28559,414,414,508,508,509,40059,30458,30454,510,509,509,509,508,508,508,509,509,510,509,423,424,28368,28368,30370,26950,33327,26948,33321,26893,33185
MD_6_B10,33390,389,28553,28554,27875,28140,387,28539,382,27057,27947,406,40093,28547,29983,27553,40015,57,378,360,33192,33389,28549,429,65,33184,299,27521,390,28139,26505,27856,360,15051,58,29988,292,28554,29929,29967,63,39959,15061,33312,26797,33191,33290,33312,63,72,33184,33301,28552,40027,27949,385,40033,28546,27920,27916,23364,28395,407,27504,28395,40037,55,27715,54,53,0,53,55,1,53,3,301,2,15058,40061,3,54,33270,1,40048,35335,2,28389,15037,27720,1,35202,28389,26861,33179,53,39739,53,54,32960,55,15056,35347,27944,54,55,33279,33334,1,2,54,28395,1,53,35342,57,33269,33278,29980,15043,28395,28388,28957,28942,163,27640,28957,87,39842,29924,28403,33290,33257,33379,28959,380,33295,380,25751,29972,301,15064,414,70,28097,39957,27552,27552,33286,33953,28128,28101,57,59,39780,303,359,32821,27987,28138,379,26674,40315,421,28143,28144,8754,28171,407,28397,28555,420,420,515,516,517,40061,30457,30453,518,517,517,516,516,516,516,516,516,518,516,431,432,28364,28362,30380,26943,33322,26941,33317,26877,33183
