name	Database	SPI	Identity	Query / Template length	Contig	Position in contig	Organism	Insertion Site	Category Function	Note	Accession number
ISLHD_2019_28	SPI	SPI-1	95.1	3100 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
ISLHD_2019_28	SPI	SPI-13	95.54	386 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
ISLHD_2019_28	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
ISLHD_2019_28	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
ISLHD_2019_28	SPI	SPI-2	99.77	39983 / 40071		NA..NA	Salmonella-Typhimurium-LT2	tRNA-valV	14	gi|16763390:1461740-1501810 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
ISLHD_2019_28	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
ISLHD_2019_28	SPI	SPI-3	99.92	16605 / 16616		NA..NA	Salmonella-Typhimurium-LT2	tRNA-selC	15	gi|16763390:3948576-3965191 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
ISLHD_2019_28	SPI	SPI-4	99.95	24652 / 24660		NA..NA	Salmonella-enterica-Typhimurium-ST4/74	Not_published	17		AJ576316
ISLHD_2019_28	SPI	SPI-5	100.0	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
ISLHD_2019_28	SPI	SPI-6	99.55	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
ISLHD_2019_28	SPI	SPI-9	98.37	15700 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR14144466	SPI	CS54_island	99.91	25254 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
SRR14144466	SPI	SPI-1	95.34	2705 / 2705		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,U16303	AF148689
SRR14144466	SPI	SPI-1	100.0	440 / 440		NA..NA	Salmonella-enterica-Gallinarum-SGB_1	Not_published	5		AY956822
SRR14144466	SPI	SPI-1	98.72	470 / 470		NA..NA	Salmonella-enterica-Gallinarum-SGB_4	Not_published	5		AY956824
SRR14144466	SPI	SPI-1	99.28	415 / 415		NA..NA	Salmonella-enterica-Gallinarum-SGB_8	Not_published	5		AY956825
SRR14144466	SPI	SPI-1	99.99	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144466	SPI	SPI-1	99.63	1093 / 1085		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: AF148689,U16303	U16278
SRR14144466	SPI	SPI-1	96.91	3088 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
SRR14144466	SPI	SPI-13	97.34	338 / 338		NA..NA	Salmonella-enterica-Gallinarum-SGD_3	tRNA-pheV	9		AY956832
SRR14144466	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
SRR14144466	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
SRR14144466	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
SRR14144466	SPI	SPI-2	97.3	12122 / 12121		NA..NA	Salmonella-enterica-Typhimurium-LT2	tRNA-valV	14	N.B. This record is part of a PAI which includes several records: AJ224892,U51927,X99944,X99945,Y09357,Z95891	AJ224978
SRR14144466	SPI	SPI-2	99.99	40071 / 40071		NA..NA	Salmonella-Typhimurium-LT2	tRNA-valV	14	gi|16763390:1461740-1501810 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144466	SPI	SPI-2	95.61	1252 / 1252		NA..NA	Salmonella-enterica-Typhimurium-	tRNA-valV	14	N.B. This record is part of a PAI which includes several records: AJ224892,AJ224978,U51927,X99944,X99945,Y09357	Z95891
SRR14144466	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR14144466	SPI	SPI-3	99.99	16616 / 16616		NA..NA	Salmonella-Typhimurium-LT2	tRNA-selC	15	gi|16763390:3948576-3965191 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144466	SPI	SPI-4	100.0	24660 / 24660		NA..NA	Salmonella-enterica-Typhimurium-ST4/74	Not_published	17		AJ576316
SRR14144466	SPI	SPI-5	100.0	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144466	SPI	SPI-6	99.58	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
SRR14144466	SPI	SPI-9	98.35	15700 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR14144317	SPI	CS54_island	99.92	25254 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
SRR14144317	SPI	SPI-1	98.44	258 / 257		NA..NA	Salmonella-enterica-Typhimurium-J4STEHO	-	27		JN982040
SRR14144317	SPI	SPI-1	99.98	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144317	SPI	SPI-1	97.17	3153 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
SRR14144317	SPI	SPI-13	98.52	338 / 338		NA..NA	Salmonella-enterica-Gallinarum-SGD_3	tRNA-pheV	9		AY956832
SRR14144317	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
SRR14144317	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
SRR14144317	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
SRR14144317	SPI	SPI-2	99.84	40014 / 40071		NA..NA	Salmonella-Typhimurium-LT2	tRNA-valV	14	gi|16763390:1461740-1501810 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144317	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR14144317	SPI	SPI-3	99.97	16613 / 16616		NA..NA	Salmonella-Typhimurium-LT2	tRNA-selC	15	gi|16763390:3948576-3965191 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144317	SPI	SPI-4	100.0	24660 / 24660		NA..NA	Salmonella-enterica-Typhimurium-ST4/74	Not_published	17		AJ576316
SRR14144317	SPI	SPI-5	100.0	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144317	SPI	SPI-6	99.6	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
SRR14144317	SPI	SPI-9	98.34	15700 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
W_1_C11	SPI	CS54_island	97.12	25280 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
W_1_C11	SPI	SPI-1	97.67	259 / 257		NA..NA	Salmonella-enterica-Typhimurium-J4STEHO	-	27		JN982040
W_1_C11	SPI	SPI-1	96.34	3148 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
W_1_C11	SPI	SPI-12	98.78	11077 / 11075		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	tRNA-pro	8	gi|62178570:2354604-2365678 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
W_1_C11	SPI	SPI-13	99.26	402 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
W_1_C11	SPI	SPI-14	99.8	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
W_1_C11	SPI	SPI-14	99.77	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
W_1_C11	SPI	SPI-3	98.64	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
W_1_C11	SPI	SPI-5	95.75	9694 / 9739		NA..NA	Salmonella-enterica-Dublin-2229	tRNA-serT	18		AF060858
W_1_C11	SPI	SPI-6	99.64	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
W_1_C11	SPI	SPI-9	98.15	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
ERR2992794	SPI	SPI-1	98.96	2705 / 2705		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,U16303	AF148689
ERR2992794	SPI	SPI-1	99.77	440 / 440		NA..NA	Salmonella-enterica-Gallinarum-SGB_1	Not_published	5		AY956822
ERR2992794	SPI	SPI-1	100.0	470 / 470		NA..NA	Salmonella-enterica-Gallinarum-SGB_4	Not_published	5		AY956824
ERR2992794	SPI	SPI-1	99.52	415 / 415		NA..NA	Salmonella-enterica-Gallinarum-SGB_8	Not_published	5		AY956825
ERR2992794	SPI	SPI-1	95.22	250 / 251		NA..NA	Salmonella-enterica-Typhimurium-OEHST5	-	27		JN982041
ERR2992794	SPI	SPI-1	96.5	3151 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
ERR2992794	SPI	SPI-12	95.71	11084 / 11075		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	tRNA-pro	8	gi|62178570:2354604-2365678 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
ERR2992794	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
ERR2992794	SPI	SPI-13	98.24	341 / 341		NA..NA	Salmonella-enterica-Gallinarum-SGA_10	tRNA-pheV	10		AY956834
ERR2992794	SPI	SPI-14	99.6	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
ERR2992794	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
ERR2992794	SPI	SPI-2	98.96	384 / 384		NA..NA	Salmonella-enterica-Paratyphi_A-Spa11	-	23		JN673269
ERR2992794	SPI	SPI-3	99.05	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
ERR2992794	SPI	SPI-4	95.36	26698 / 26698		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	ssb-soxSR	17	gi|62178570:4411902-4438599 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
ERR2992794	SPI	SPI-5	96.56	9698 / 9739		NA..NA	Salmonella-enterica-Dublin-2229	tRNA-serT	18		AF060858
ERR2992794	SPI	SPI-5	95.42	9070 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
ERR2992794	SPI	SPI-6	99.27	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
ERR2992794	SPI	SPI-9	98.15	15700 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
ISLHD_2019_22	SPI	SPI-1	95.1	3134 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
ISLHD_2019_22	SPI	SPI-13	98.82	338 / 338		NA..NA	Salmonella-enterica-Gallinarum-SGD_3	tRNA-pheV	9		AY956832
ISLHD_2019_22	SPI	SPI-13	95.54	386 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
ISLHD_2019_22	SPI	SPI-14	99.6	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
ISLHD_2019_22	SPI	SPI-14	99.77	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
ISLHD_2019_22	SPI	SPI-2	99.74	384 / 384		NA..NA	Salmonella-enterica-Paratyphi_A-Spa11	-	23		JN673269
ISLHD_2019_22	SPI	SPI-3	98.64	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
ISLHD_2019_22	SPI	SPI-6	99.43	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
ISLHD_2019_22	SPI	SPI-9	98.15	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
W_1_E11	SPI	CS54_island	97.14	25283 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
W_1_E11	SPI	SPI-1	98.86	440 / 440		NA..NA	Salmonella-enterica-Gallinarum-SGB_1	Not_published	5		AY956822
W_1_E11	SPI	SPI-12	98.76	11077 / 11075		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	tRNA-pro	8	gi|62178570:2354604-2365678 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
W_1_E11	SPI	SPI-13	99.5	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
W_1_E11	SPI	SPI-14	99.8	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
W_1_E11	SPI	SPI-14	99.77	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
W_1_E11	SPI	SPI-2	99.48	384 / 384		NA..NA	Salmonella-enterica-Paratyphi_A-Spa11	-	23		JN673269
W_1_E11	SPI	SPI-3	98.64	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
W_1_E11	SPI	SPI-5	97.1	9691 / 9739		NA..NA	Salmonella-enterica-Dublin-2229	tRNA-serT	18		AF060858
W_1_E11	SPI	SPI-5	97.57	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
W_1_E11	SPI	SPI-6	99.64	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
W_1_E11	SPI	SPI-9	98.14	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
ERR2992779	SPI	SPI-1	98.07	415 / 415		NA..NA	Salmonella-enterica-Gallinarum-SGB_8	Not_published	5		AY956825
ERR2992779	SPI	SPI-1	95.42	3153 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
ERR2992779	SPI	SPI-12	95.6	11081 / 11075		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	tRNA-pro	8	gi|62178570:2354604-2365678 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
ERR2992779	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
ERR2992779	SPI	SPI-14	99.6	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
ERR2992779	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
ERR2992779	SPI	SPI-3	99.05	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
ERR2992779	SPI	SPI-4	95.14	26698 / 26698		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	ssb-soxSR	17	gi|62178570:4411902-4438599 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
ERR2992779	SPI	SPI-5	96.94	9701 / 9739		NA..NA	Salmonella-enterica-Dublin-2229	tRNA-serT	18		AF060858
ERR2992779	SPI	SPI-5	95.17	9070 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
ERR2992779	SPI	SPI-6	99.2	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
ERR2992779	SPI	SPI-9	98.15	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR14144279	SPI	CS54_island	99.92	25254 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
SRR14144279	SPI	SPI-1	95.66	415 / 415		NA..NA	Salmonella-enterica-Gallinarum-SGB_8	Not_published	5		AY956825
SRR14144279	SPI	SPI-1	98.05	257 / 257		NA..NA	Salmonella-enterica-Typhimurium-J4STEHO	-	27		JN982040
SRR14144279	SPI	SPI-1	99.98	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144279	SPI	SPI-1	97.01	3153 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
SRR14144279	SPI	SPI-13	99.5	402 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
SRR14144279	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
SRR14144279	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
SRR14144279	SPI	SPI-2	99.86	40020 / 40071		NA..NA	Salmonella-Typhimurium-LT2	tRNA-valV	14	gi|16763390:1461740-1501810 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144279	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR14144279	SPI	SPI-3	99.88	16598 / 16616		NA..NA	Salmonella-Typhimurium-LT2	tRNA-selC	15	gi|16763390:3948576-3965191 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144279	SPI	SPI-4	100.0	24660 / 24660		NA..NA	Salmonella-enterica-Typhimurium-ST4/74	Not_published	17		AJ576316
SRR14144279	SPI	SPI-5	100.0	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR14144279	SPI	SPI-6	99.6	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
SRR14144279	SPI	SPI-9	98.35	15700 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR7841404	SPI	SPI-1	97.4	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR7841404	SPI	SPI-12	98.93	11078 / 11075		NA..NA	Salmonella-enterica-Choleraesuis-SC_B67	tRNA-pro	8	gi|62178570:2354604-2365678 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_006905
SRR7841404	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
SRR7841404	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
SRR7841404	SPI	SPI-14	99.32	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
SRR7841404	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR7841404	SPI	SPI-6	99.45	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
SRR7841404	SPI	SPI-9	98.32	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
