snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,SG19_084_Sal,SG19_116.05_E.coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_11,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_03,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_154_S34,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_89_S8,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_D11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2017_3_S117,26018,302,22557,22553,21734,22261,301,22553,300,21729,0,31311,22556,23759,21692,31102,347,293,281,25748,26022,22534,338,352,25747,362,21660,303,22259,21072,22037,280,11970,352,23759,363,22559,23710,23752,343,31088,11984,25954,21004,25746,25937,25947,343,358,25746,25945,22553,31071,21728,300,31127,22544,21745,21744,22370,34,21647,22378,22369,22614,22614,379,21939,22614,367,31079,23716,22374,25897,25967,26013,22617,296,25896,296,22220,23753,364,11979,37,346,22263,31090,21689,21689,25828,25935,26395,22256,22221,349,348,31190,366,280,25569,21737,98361,22261,295,21159,31091,47,22265,22265,7004,22347,34,22370,22553,44,44,576,576,576,31094,23757,23757,22686,577,577,577,577,576,576,576,576,577,577,576,22685,576,576,22718,22718,23743,25953,25952,21325,25745
ISLHD_2017_4_S118,28692,31296,31444,31440,31126,31433,31295,31440,31296,31121,31311,0,31443,30564,31322,17997,31345,31286,31277,29558,28696,31421,31324,31350,29557,31358,31295,31294,31428,31178,31119,31274,31171,31350,30564,31359,31436,30559,30557,31341,17960,31183,29611,31270,29556,29604,29602,31339,31356,29556,29602,31440,18527,31120,31294,18014,31427,31349,31348,30812,31311,31281,30818,30811,31523,31523,31377,31518,31523,31365,17915,30565,30818,29202,29622,28685,31526,31289,29201,31289,31387,30558,31360,31178,31314,31344,31432,17962,31319,31319,29301,29602,28409,31425,31388,31347,31346,18062,31362,31276,29865,31130,98283,31430,31288,31389,19008,31322,31432,31432,31478,31509,31311,30812,31440,31321,31321,31561,31561,31561,17394,31523,31523,31246,31562,31562,31562,31562,31561,31561,31561,31561,31562,31562,31561,31245,31561,31561,31205,31205,31764,29610,29611,31262,29555
ISLHD_2017_5_S77,26218,22546,13,9,23080,22781,22545,9,22544,23075,22556,31443,0,23853,22830,30925,22595,22537,22528,25475,26222,80,22583,22600,25474,22605,22800,22544,22777,22544,22938,22525,22465,22600,23853,22606,31,23816,23846,22591,30943,22479,25691,22715,25473,25674,25684,22591,22606,25473,25682,9,30935,23074,22544,30948,186,22912,22911,23884,22556,22787,23892,23883,23044,23044,22627,23013,23044,22615,30840,23822,23890,26106,25705,26213,23047,22540,26105,22540,22733,23847,22607,22474,22559,22594,22781,30945,22825,22825,25571,25672,26514,22774,22734,22597,22596,31097,22609,22527,25739,23085,98323,22779,22539,23123,30762,22569,22783,22783,22670,22865,22556,23884,9,22566,22566,22819,22819,22819,30955,24106,24106,23267,22820,22820,22820,22820,22819,22819,22819,22819,22820,22820,22819,23266,22819,22819,23285,23285,24163,25690,25689,22564,25472
ISLHD_2017_6_S119,25287,23752,23852,23848,23871,23812,23751,23848,23752,23868,23759,30564,23853,0,23645,30313,23797,23744,23733,24311,25289,23829,23779,23804,24310,23810,23613,23750,23807,23151,23586,23730,23724,23802,4,23811,23844,355,17,23795,30403,23739,24676,23442,24309,24669,24669,23795,23810,24309,24667,23848,30439,23867,23752,30330,23837,23811,23810,22809,23759,23604,22817,22808,23757,23757,23828,24025,23757,23817,30305,361,22813,25029,24690,25280,23760,23747,25028,23747,23765,18,23812,23734,23762,23798,23811,30405,23642,23642,24712,24667,25450,23804,23766,23799,23798,30408,23814,23732,24842,23878,98075,23809,23746,23672,30420,23772,23813,23813,23973,23895,23759,22809,23848,23769,23769,24013,24013,24013,30319,24580,24580,23810,24014,24014,24014,24014,24013,24013,24013,24013,24014,24014,24013,23809,24013,24013,23827,23827,24924,24675,24674,23375,24308
ISLHD_2017_7_S78,26484,21681,22831,22827,21297,22466,21680,22827,21682,21294,21692,31322,22830,23645,0,30992,21734,21674,21667,25889,26489,22808,21717,21739,25888,21747,240,21681,22463,22091,22736,21664,21985,21739,23645,21748,22823,23626,23638,21730,31097,21999,25973,22379,25887,25968,25968,21730,21745,25887,25966,22827,31032,21293,21679,31009,22814,22200,22199,23482,21692,235,23488,23481,22900,22900,21764,22306,22900,21754,31034,23632,23486,25900,25989,26478,22903,21677,25899,21677,22425,23639,21749,21994,21695,21733,22467,31099,11,11,25843,25966,26472,22460,22426,21736,21735,31255,21751,21666,25728,21302,98340,22465,21676,22182,30852,21703,22467,22467,21984,22551,21692,23482,22827,21702,21702,21951,21951,21951,31026,23975,23975,22913,21952,21952,21952,21952,21951,21951,21951,21951,21952,21952,21951,22912,21951,21951,22871,22871,23862,25972,25971,22451,25886
ISLHD_2017_8_S79,28469,31094,30926,30922,30845,31089,31093,30922,31091,30840,31102,17997,30925,30313,30992,0,31137,31085,31073,29237,28471,30905,31131,31142,29236,31149,30971,31092,31084,30849,30977,31070,30864,31142,30313,31150,30928,30306,30306,31133,19050,30878,29507,30859,29235,29494,29502,31131,31148,29235,29502,30922,11608,30839,31092,131,30909,30962,30961,30476,31102,30959,30482,30475,31323,31323,31168,31253,31323,31157,18739,30310,30481,28918,29522,28462,31326,31088,28917,31088,31046,30305,31149,30871,31105,31136,31088,19052,30989,30989,29175,29492,28449,31081,31049,31139,31138,17618,31151,31072,29604,30848,98196,31086,31087,31051,19095,31113,31090,31090,31196,31166,31102,30476,30922,31112,31112,31351,31351,31351,5002,31175,31175,30881,31352,31352,31352,31352,31351,31351,31351,31351,31352,31352,31351,30880,31351,31351,30876,30876,31408,29506,29507,31023,29234
ISLHD_2017_9_S80,26054,303,22596,22592,21767,22295,302,22592,301,21762,347,31345,22595,23797,21734,31137,0,294,282,25784,26058,22573,339,47,25783,233,21702,304,22293,21107,22076,281,12005,27,23797,234,22598,23748,23790,42,31125,12019,25989,21041,25782,25972,25982,42,53,25782,25980,22592,31106,21761,301,31162,22583,21773,21772,22407,347,21689,22415,22406,22657,22657,138,21975,22657,26,31113,23754,22411,25934,26002,26049,22660,297,25933,297,22254,23791,235,12014,350,45,22297,31127,21731,21731,25862,25970,26431,22290,22255,8,23,31228,237,281,25607,21770,98434,22295,296,21201,31125,360,22299,22299,7039,22381,347,22407,22592,357,357,423,423,423,31131,23791,23791,22723,424,424,424,424,423,423,423,423,424,424,423,22722,423,423,22755,22755,23799,25988,25987,21365,25781
ISLHD_2018_10_S99,26003,39,22538,22534,21713,22238,38,22534,193,21708,293,31286,22537,23744,21674,31085,294,0,174,25729,26007,22515,285,299,25728,307,21642,40,22236,21055,22022,173,11952,299,23744,308,22540,23695,23737,290,31066,11966,25933,20984,25727,25916,25926,290,305,25727,25924,22534,31049,21707,37,31110,22525,21723,21722,22352,293,21629,22360,22351,22598,22598,326,21924,22598,314,31059,23701,22356,25877,25946,25998,22601,5,25876,5,22197,23738,309,11961,296,293,22240,31068,21671,21671,25808,25914,26373,22233,22198,296,295,31171,311,173,25549,21716,98372,22238,4,21145,31071,306,22242,22242,6983,22324,293,22352,22534,303,303,523,523,523,31078,23736,23736,22669,524,524,524,524,523,523,523,523,524,524,523,22668,523,523,22701,22701,23749,25932,25931,21304,25726
ISLHD_2018_11_S100,25990,183,22529,22525,21704,22228,182,22525,35,21699,281,31277,22528,23733,21667,31073,282,174,0,25717,25994,22506,273,287,25716,297,21635,184,22226,21044,22007,33,11937,287,23733,298,22531,23684,23726,278,31055,11951,25923,20973,25715,25906,25916,278,293,25715,25914,22525,31039,21698,181,31098,22516,21710,21709,22342,281,21622,22350,22341,22581,22581,314,21909,22581,302,31048,23690,22346,25864,25936,25985,22584,177,25863,177,22187,23727,299,11946,284,281,22230,31057,21664,21664,25796,25904,26359,22223,22188,284,283,31160,301,1,25539,21707,98363,22228,176,21133,31060,294,22232,22232,6973,22314,281,22342,22525,291,291,511,511,511,31066,23726,23726,22654,512,512,512,512,511,511,511,511,512,512,511,22653,511,511,22686,22686,23733,25922,25921,21296,25714
ISLHD_2018_12_S101,24334,25737,25476,25472,26229,25970,25736,25472,25734,26222,25748,29558,25475,24311,25889,29237,25784,25729,25717,0,24338,25461,25765,25789,9,25797,25861,25735,25965,25908,25779,25718,25736,25789,24311,25798,25468,24297,24304,25780,29329,25748,23235,25915,4,23228,23228,25780,25795,10,23226,25472,29215,26221,25735,29251,25471,25829,25828,25227,25748,25852,25233,25226,26214,26214,25813,26199,26214,25803,29188,24303,25231,23827,23248,24327,26217,25732,23826,25732,25926,24305,25799,25743,25751,25783,25969,29331,25886,25886,23069,23226,24168,25962,25927,25786,25785,29421,25801,25716,23356,26234,98204,25967,25731,25982,29164,25761,25969,25969,26001,26044,25748,25227,25472,25758,25758,26006,26006,26006,29182,26552,26552,25859,26007,26007,26007,26007,26006,26006,26006,26006,26007,26007,26006,25858,26006,26006,25867,25867,26609,23234,23233,25839,7
ISLHD_2018_13_S102,24,26016,26223,26219,26722,26175,26015,26219,26008,26717,26022,28696,26222,25289,26489,28471,26058,26007,25994,24338,0,26202,26037,26063,24337,26070,26460,26014,26170,26262,26224,25991,26206,26063,25289,26071,26215,25291,25282,26054,28436,26220,23684,26316,24336,23677,23677,26054,26069,24336,23675,26219,28617,26716,26012,28488,26211,26418,26417,26017,26022,26445,26023,26016,26810,26810,26087,26651,26810,26078,28337,25295,26023,22088,23697,37,26813,26010,22087,26010,26127,25283,26072,26215,26025,26057,26174,28438,26486,26486,23456,23675,22643,26167,26128,26060,26059,28634,26074,25993,23586,26728,97967,26172,26009,26421,28581,26035,26176,26176,26297,26252,26022,26017,26219,26032,26032,26273,26273,26273,28400,26675,26675,25953,26274,26274,26274,26274,26273,26273,26273,26273,26274,26274,26273,25952,26273,26273,25945,25945,27151,23683,23682,26053,24335
ISLHD_2018_14_S103,26198,22524,79,75,23056,22761,22523,75,22522,23051,22534,31421,80,23829,22808,30905,22573,22515,22506,25461,26202,0,22561,22578,25460,22583,22778,22522,22757,22522,22916,22503,22443,22578,23829,22584,85,23792,23822,22569,30923,22457,25669,22691,25459,25652,25662,22569,22584,25459,25660,75,30914,23050,22522,30928,162,22890,22889,23860,22534,22765,23868,23859,23020,23020,22605,22989,23020,22593,30820,23798,23866,26084,25683,26193,23023,22518,26083,22518,22713,23823,22585,22452,22537,22572,22761,30925,22803,22803,25549,25650,26492,22754,22714,22575,22574,31085,22587,22505,25717,23061,98305,22759,22517,23101,30742,22547,22763,22763,22646,22845,22534,23860,75,22544,22544,22797,22797,22797,30935,24084,24084,23245,22798,22798,22798,22798,22797,22797,22797,22797,22798,22798,22797,23244,22797,22797,23263,23263,24147,25668,25667,22540,25458
ISLHD_2018_15_S104,26033,294,22584,22580,21751,22277,293,22580,292,21746,338,31324,22583,23779,21717,31131,339,285,273,25765,26037,22561,0,344,25764,354,21685,295,22275,21086,22056,272,11987,344,23779,355,22576,23730,23772,335,31106,12001,25969,21021,25763,25962,25962,335,350,25763,25960,22580,31088,21745,292,31146,22571,21758,21757,22385,338,21672,22393,22384,22632,22632,371,21959,22632,359,31095,23736,22389,25911,25982,26028,22635,288,25910,288,22236,23773,356,11996,341,338,22279,31108,21714,21714,25846,25960,26411,22272,22237,341,340,31210,358,272,25586,21754,98420,22277,287,21183,31120,351,22281,22281,7021,22363,338,22385,22580,348,348,568,568,568,31113,23773,23773,22705,569,569,569,569,568,568,568,568,569,569,568,22704,568,568,22737,22737,23781,25968,25967,21344,25762
ISLHD_2018_16_S105,26059,308,22601,22597,21776,22300,307,22597,306,21771,352,31350,22600,23804,21739,31142,47,299,287,25789,26063,22578,344,0,25788,238,21707,309,22298,21114,22081,286,12010,52,23804,239,22603,23755,23797,47,31130,12024,25994,21046,25787,25977,25987,47,10,25787,25985,22597,31111,21770,306,31167,22588,21780,21779,22412,352,21694,22420,22411,22662,22662,143,21984,22662,67,31116,23761,22416,25939,26007,26054,22665,302,25938,302,22259,23798,240,12019,355,50,22302,31132,21736,21736,25869,25975,26436,22295,22260,49,48,31231,242,286,25612,21779,98439,22300,301,21206,31130,365,22304,22304,7044,22386,352,22412,22597,362,362,428,428,428,31136,23796,23796,22728,429,429,429,429,428,428,428,428,429,429,428,22727,428,428,22760,22760,23808,25993,25992,21370,25786
